Time difference of 1.487179 mins
[1] "==============="
Support Vector Machines with Class Weights 

800 samples
 40 predictor
  2 classes: '0', '1' 

No pre-processing
Resampling: Cross-Validated (10 fold, repeated 2 times) 

Summary of sample sizes: 720, 721, 721, 720, 719, 720, ... 

Resampling results across tuning parameters:

  C       Weight  Accuracy  Kappa  Accuracy SD  Kappa SD
    8.00  11      0.858     0.716  0.0385       0.0771  
    8.00  12      0.858     0.716  0.0385       0.0771  
   16.00   1      0.856     0.711  0.0355       0.0709  
   16.00   2      0.856     0.711  0.0355       0.0709  
   16.00   3      0.856     0.711  0.0355       0.0709  
   16.00   4      0.856     0.711  0.0355       0.0709  
   16.00   5      0.856     0.711  0.0355       0.0709  
   16.00   6      0.856     0.711  0.0355       0.0709  
   16.00   7      0.856     0.711  0.0355       0.0709  
   16.00   8      0.856     0.711  0.0355       0.0709  
   16.00   9      0.856     0.711  0.0355       0.0709  
   16.00  10      0.856     0.711  0.0355       0.0709  
   16.00  11      0.856     0.711  0.0355       0.0709  
   16.00  12      0.856     0.711  0.0355       0.0709  
   32.00   1      0.856     0.712  0.0345       0.0689  
   32.00   2      0.856     0.712  0.0345       0.0689  
   32.00   3      0.856     0.712  0.0345       0.0689  
   32.00   4      0.856     0.712  0.0345       0.0689  
   32.00   5      0.856     0.712  0.0345       0.0689  
   32.00   6      0.856     0.712  0.0345       0.0689  
   32.00   7      0.856     0.712  0.0345       0.0689  
   32.00   8      0.856     0.712  0.0345       0.0689  
   32.00   9      0.856     0.712  0.0345       0.0689  
   32.00  10      0.856     0.712  0.0345       0.0689  
   32.00  11      0.856     0.712  0.0345       0.0689  
   32.00  12      0.856     0.712  0.0345       0.0689  
   64.00   1      0.856     0.712  0.0345       0.0689  
   64.00   2      0.856     0.712  0.0345       0.0689  
   64.00   3      0.856     0.712  0.0345       0.0689  
   64.00   4      0.856     0.712  0.0345       0.0689  
   64.00   5      0.856     0.712  0.0345       0.0689  
   64.00   6      0.856     0.712  0.0345       0.0689  
   64.00   7      0.856     0.712  0.0345       0.0689  
   64.00   8      0.856     0.712  0.0345       0.0689  
   64.00   9      0.856     0.712  0.0345       0.0689  
   64.00  10      0.856     0.712  0.0345       0.0689  
   64.00  11      0.856     0.712  0.0345       0.0689  
   64.00  12      0.856     0.712  0.0345       0.0689  
  128.00   1      0.856     0.712  0.0345       0.0689  
  128.00   2      0.856     0.712  0.0345       0.0689  
  128.00   3      0.856     0.712  0.0345       0.0689  
  128.00   4      0.856     0.712  0.0345       0.0689  
  128.00   5      0.856     0.712  0.0345       0.0689  
  128.00   6      0.856     0.712  0.0345       0.0689  
  128.00   7      0.856     0.712  0.0345       0.0689  
  128.00   8      0.856     0.712  0.0345       0.0689  
  128.00   9      0.856     0.712  0.0345       0.0689  
  128.00  10      0.856     0.712  0.0345       0.0689  
  128.00  11      0.856     0.712  0.0345       0.0689  
  128.00  12      0.856     0.712  0.0345       0.0689  
  256.00   1      0.856     0.712  0.0345       0.0689  
  256.00   2      0.856     0.712  0.0345       0.0689  
  256.00   3      0.856     0.712  0.0345       0.0689  
  256.00   4      0.856     0.712  0.0345       0.0689  
  256.00   5      0.856     0.712  0.0345       0.0689  
  256.00   6      0.856     0.712  0.0345       0.0689  
  256.00   7      0.856     0.712  0.0345       0.0689  
  256.00   8      0.856     0.712  0.0345       0.0689  
  256.00   9      0.856     0.712  0.0345       0.0689  
  256.00  10      0.856     0.712  0.0345       0.0689  
  256.00  11      0.856     0.712  0.0345       0.0689  
  256.00  12      0.856     0.712  0.0345       0.0689  
  512.00   1      0.856     0.712  0.0345       0.0689  
  512.00   2      0.856     0.712  0.0345       0.0689  
  512.00   3      0.856     0.712  0.0345       0.0689  
  512.00   4      0.856     0.712  0.0345       0.0689  
  512.00   5      0.856     0.712  0.0345       0.0689  
  512.00   6      0.856     0.712  0.0345       0.0689  
  512.00   7      0.856     0.712  0.0345       0.0689  
  512.00   8      0.856     0.712  0.0345       0.0689  
  512.00   9      0.856     0.712  0.0345       0.0689  
  512.00  10      0.856     0.712  0.0345       0.0689  
  512.00  11      0.856     0.712  0.0345       0.0689  
  512.00  12      0.856     0.712  0.0345       0.0689  

Tuning parameter 'sigma' was held constant at a value of 0.0138145
Kappa was used to select the optimal model using  the largest value.
The final values used for the model were sigma = 0.0138145, C = 2 and Weight = 1. 
[1] "==============="
Confusion Matrix and Statistics

          Reference
Prediction  0  1
         0 87 18
         1 11 84
                                          
               Accuracy : 0.855           
                 95% CI : (0.7984, 0.9007)
    No Information Rate : 0.51            
    P-Value [Acc > NIR] : <2e-16          
                                          
                  Kappa : 0.7103          
 Mcnemar's Test P-Value : 0.2652          
                                          
            Sensitivity : 0.8878          
            Specificity : 0.8235          
         Pos Pred Value : 0.8286          
         Neg Pred Value : 0.8842          
             Prevalence : 0.4900          
         Detection Rate : 0.4350          
   Detection Prevalence : 0.5250          
      Balanced Accuracy : 0.8556          
                                          
       'Positive' Class : 0               
                                          
