Time difference of 14.8118 mins
[1] "==============="
Random k-Nearest Neighbors 

800 samples
 40 predictor
  2 classes: '0', '1' 

No pre-processing
Resampling: Cross-Validated (10 fold, repeated 2 times) 

Summary of sample sizes: 720, 720, 721, 721, 719, 720, ... 

Resampling results across tuning parameters:

  mtry  k   Accuracy  Kappa  Accuracy SD  Kappa SD
  12     7  0.841     0.682  0.0389       0.0780  
  12     9  0.839     0.678  0.0386       0.0775  
  12    11  0.831     0.662  0.0377       0.0756  
  12    13  0.837     0.673  0.0396       0.0796  
  12    15  0.831     0.660  0.0411       0.0826  
  12    17  0.833     0.665  0.0395       0.0794  
  12    19  0.829     0.658  0.0352       0.0708  
  12    21  0.832     0.663  0.0404       0.0812  
  12    23  0.827     0.653  0.0390       0.0784  
  12    25  0.828     0.655  0.0382       0.0768  
  12    27  0.829     0.657  0.0359       0.0721  
  15     5  0.842     0.683  0.0446       0.0894  
  15     7  0.843     0.685  0.0415       0.0834  
  15     9  0.840     0.679  0.0420       0.0843  
  15    11  0.840     0.680  0.0446       0.0896  
  15    13  0.837     0.674  0.0416       0.0836  
  15    15  0.834     0.668  0.0403       0.0809  
  15    17  0.838     0.675  0.0380       0.0764  
  15    19  0.837     0.674  0.0402       0.0808  
  15    21  0.835     0.669  0.0424       0.0851  
  15    23  0.838     0.675  0.0438       0.0879  
  15    25  0.834     0.668  0.0435       0.0873  
  15    27  0.836     0.670  0.0432       0.0867  
  19     5  0.841     0.682  0.0444       0.0892  
  19     7  0.846     0.692  0.0443       0.0889  
  19     9  0.845     0.689  0.0420       0.0844  
  19    11  0.838     0.675  0.0367       0.0737  
  19    13  0.842     0.684  0.0401       0.0807  
  19    15  0.844     0.687  0.0435       0.0873  
  19    17  0.841     0.680  0.0423       0.0851  
  19    19  0.845     0.689  0.0409       0.0822  
  19    21  0.842     0.683  0.0428       0.0860  
  19    23  0.841     0.680  0.0415       0.0833  
  19    25  0.841     0.680  0.0425       0.0854  
  19    27  0.840     0.679  0.0411       0.0825  
  22     5  0.844     0.687  0.0521       0.1045  
  22     7  0.847     0.693  0.0442       0.0888  
  22     9  0.839     0.676  0.0456       0.0915  
  22    11  0.842     0.683  0.0423       0.0849  
  22    13  0.841     0.680  0.0379       0.0761  
  22    15  0.839     0.678  0.0397       0.0798  
  22    17  0.846     0.690  0.0414       0.0832  
  22    19  0.839     0.678  0.0431       0.0865  
  22    21  0.841     0.682  0.0373       0.0750  
  22    23  0.842     0.683  0.0431       0.0868  
  22    25  0.843     0.685  0.0408       0.0820  
  22    27  0.844     0.688  0.0422       0.0848  
  26     5  0.840     0.679  0.0446       0.0894  
  26     7  0.839     0.676  0.0466       0.0935  
  26     9  0.842     0.683  0.0444       0.0892  
  26    11  0.844     0.688  0.0419       0.0842  
  26    13  0.847     0.693  0.0452       0.0907  
  26    15  0.847     0.694  0.0441       0.0887  
  26    17  0.844     0.688  0.0423       0.0851  
  26    19  0.845     0.689  0.0400       0.0804  
  26    21  0.842     0.683  0.0418       0.0840  
  26    23  0.844     0.686  0.0422       0.0848  
  26    25  0.841     0.680  0.0438       0.0880  
  26    27  0.839     0.676  0.0397       0.0799  
  29     5  0.838     0.675  0.0422       0.0848  
  29     7  0.839     0.676  0.0469       0.0943  
  29     9  0.841     0.682  0.0434       0.0872  
  29    11  0.848     0.695  0.0398       0.0799  
  29    13  0.847     0.693  0.0460       0.0923  
  29    15  0.850     0.699  0.0447       0.0900  
  29    17  0.842     0.684  0.0454       0.0912  
  29    19  0.842     0.683  0.0437       0.0880  
  29    21  0.844     0.686  0.0420       0.0847  
  29    23  0.839     0.678  0.0426       0.0858  
  29    25  0.840     0.679  0.0430       0.0865  
  29    27  0.841     0.681  0.0429       0.0863  
  33     5  0.833     0.665  0.0465       0.0934  
  33     7  0.831     0.661  0.0481       0.0967  
  33     9  0.840     0.679  0.0449       0.0904  
  33    11  0.842     0.684  0.0411       0.0826  
  33    13  0.842     0.684  0.0497       0.1000  
  33    15  0.844     0.688  0.0438       0.0882  
  33    17  0.846     0.690  0.0398       0.0801  
  33    19  0.845     0.689  0.0449       0.0903  
  33    21  0.842     0.683  0.0435       0.0875  
  33    23  0.839     0.677  0.0452       0.0909  
  33    25  0.841     0.680  0.0434       0.0872  
  33    27  0.840     0.679  0.0448       0.0901  
  36     5  0.826     0.651  0.0451       0.0907  
  36     7  0.832     0.663  0.0458       0.0923  
  36     9  0.835     0.669  0.0453       0.0911  
  36    11  0.837     0.673  0.0412       0.0829  
  36    13  0.841     0.680  0.0418       0.0842  
  36    15  0.839     0.676  0.0397       0.0798  
  36    17  0.842     0.683  0.0399       0.0802  
  36    19  0.842     0.684  0.0412       0.0828  
  36    21  0.843     0.685  0.0435       0.0876  
  36    23  0.841     0.680  0.0448       0.0901  
  36    25  0.841     0.680  0.0439       0.0884  
  36    27  0.841     0.681  0.0438       0.0880  
  40     5  0.795     0.589  0.0420       0.0844  
  40     7  0.799     0.597  0.0466       0.0937  
  40     9  0.811     0.620  0.0441       0.0885  
  40    11  0.825     0.649  0.0495       0.0994  
  40    13  0.835     0.669  0.0442       0.0890  
  40    15  0.838     0.675  0.0412       0.0832  
  40    17  0.837     0.674  0.0424       0.0854  
  40    19  0.841     0.681  0.0485       0.0977  
  40    21  0.847     0.693  0.0358       0.0722  
  40    23  0.846     0.691  0.0409       0.0823  
  40    25  0.843     0.685  0.0424       0.0854  
  40    27  0.841     0.681  0.0430       0.0866  

Kappa was used to select the optimal model using  the largest value.
The final values used for the model were k = 15 and mtry = 29. 
[1] "==============="
Confusion Matrix and Statistics

          Reference
Prediction  0  1
         0 79  8
         1 19 94
                                          
               Accuracy : 0.865           
                 95% CI : (0.8097, 0.9091)
    No Information Rate : 0.51            
    P-Value [Acc > NIR] : < 2e-16         
                                          
                  Kappa : 0.7293          
 Mcnemar's Test P-Value : 0.05429         
                                          
            Sensitivity : 0.8061          
            Specificity : 0.9216          
         Pos Pred Value : 0.9080          
         Neg Pred Value : 0.8319          
             Prevalence : 0.4900          
         Detection Rate : 0.3950          
   Detection Prevalence : 0.4350          
      Balanced Accuracy : 0.8638          
                                          
       'Positive' Class : 0               
                                          
