Time difference of 3.338911 hours
[1] "==============="
Boosted Classification Trees 

800 samples
 40 predictor
  2 classes: '0', '1' 

No pre-processing
Resampling: Cross-Validated (10 fold, repeated 2 times) 

Summary of sample sizes: 720, 721, 720, 719, 720, 720, ... 

Resampling results across tuning parameters:

  iter  maxdepth  Accuracy  Kappa  Accuracy SD  Kappa SD
  300   12        0.874     0.747  0.0391       0.0781  
  350    1        0.815     0.630  0.0525       0.1049  
  350    2        0.850     0.700  0.0485       0.0972  
  350    3        0.854     0.707  0.0478       0.0958  
  350    4        0.867     0.734  0.0414       0.0828  
  350    5        0.872     0.745  0.0410       0.0819  
  350    6        0.874     0.747  0.0422       0.0842  
  350    7        0.874     0.749  0.0420       0.0839  
  350    8        0.881     0.762  0.0484       0.0967  
  350    9        0.877     0.754  0.0402       0.0803  
  350   10        0.883     0.766  0.0410       0.0819  
  350   11        0.875     0.750  0.0416       0.0831  
  350   12        0.876     0.752  0.0449       0.0898  
  400    1        0.819     0.637  0.0536       0.1072  
  400    2        0.844     0.689  0.0497       0.0995  
  400    3        0.858     0.716  0.0461       0.0924  
  400    4        0.866     0.731  0.0380       0.0760  
  400    5        0.871     0.741  0.0415       0.0829  
  400    6        0.874     0.749  0.0362       0.0725  
  400    7        0.881     0.761  0.0385       0.0768  
  400    8        0.877     0.755  0.0429       0.0858  
  400    9        0.874     0.747  0.0415       0.0829  
  400   10        0.876     0.752  0.0407       0.0813  
  400   11        0.880     0.760  0.0400       0.0799  
  400   12        0.875     0.750  0.0459       0.0918  
  450    1        0.816     0.631  0.0558       0.1115  
  450    2        0.844     0.687  0.0521       0.1044  
  450    3        0.862     0.724  0.0443       0.0887  
  450    4        0.869     0.737  0.0360       0.0720  
  450    5        0.881     0.761  0.0410       0.0819  
  450    6        0.881     0.761  0.0384       0.0767  
  450    7        0.872     0.745  0.0370       0.0740  
  450    8        0.878     0.756  0.0364       0.0727  
  450    9        0.874     0.749  0.0398       0.0797  
  450   10        0.877     0.754  0.0401       0.0801  
  450   11        0.877     0.754  0.0430       0.0859  
  450   12        0.879     0.759  0.0388       0.0775  
  500    1        0.814     0.627  0.0520       0.1040  
  500    2        0.849     0.697  0.0454       0.0909  
  500    3        0.868     0.736  0.0429       0.0859  
  500    4        0.874     0.749  0.0407       0.0813  
  500    5        0.874     0.749  0.0453       0.0908  
  500    6        0.879     0.757  0.0435       0.0870  
  500    7        0.882     0.764  0.0452       0.0904  
  500    8        0.877     0.755  0.0388       0.0775  
  500    9        0.877     0.755  0.0446       0.0890  
  500   10        0.882     0.764  0.0370       0.0739  
  500   11        0.876     0.753  0.0406       0.0810  
  500   12        0.882     0.764  0.0365       0.0728  
  550    1        0.812     0.624  0.0500       0.1000  
  550    2        0.847     0.693  0.0496       0.0994  
  550    3        0.864     0.727  0.0415       0.0829  
  550    4        0.875     0.750  0.0347       0.0693  
  550    5        0.876     0.752  0.0404       0.0809  
  550    6        0.873     0.746  0.0410       0.0818  
  550    7        0.881     0.762  0.0407       0.0812  
  550    8        0.879     0.757  0.0481       0.0963  
  550    9        0.876     0.751  0.0397       0.0793  
  550   10        0.879     0.759  0.0378       0.0756  
  550   11        0.880     0.760  0.0392       0.0782  
  550   12        0.877     0.755  0.0380       0.0760  
  600    1        0.821     0.642  0.0535       0.1069  
  600    2        0.841     0.681  0.0441       0.0884  
  600    3        0.865     0.730  0.0446       0.0893  
  600    4        0.874     0.747  0.0357       0.0712  
  600    5        0.879     0.759  0.0393       0.0786  
  600    6        0.879     0.757  0.0444       0.0888  
  600    7        0.876     0.751  0.0406       0.0810  
  600    8        0.880     0.760  0.0332       0.0662  
  600    9        0.878     0.756  0.0446       0.0893  
  600   10        0.881     0.763  0.0408       0.0815  
  600   11        0.882     0.764  0.0382       0.0764  
  600   12        0.879     0.759  0.0424       0.0849  

Tuning parameter 'nu' was held constant at a value of 0.1
Kappa was used to select the optimal model using  the largest value.
The final values used for the model were iter = 350, maxdepth = 10 and nu = 0.1. 
[1] "==============="
Confusion Matrix and Statistics

          Reference
Prediction  0  1
         0 89 16
         1  9 86
                                         
               Accuracy : 0.875          
                 95% CI : (0.821, 0.9174)
    No Information Rate : 0.51           
    P-Value [Acc > NIR] : <2e-16         
                                         
                  Kappa : 0.7502         
 Mcnemar's Test P-Value : 0.2301         
                                         
            Sensitivity : 0.9082         
            Specificity : 0.8431         
         Pos Pred Value : 0.8476         
         Neg Pred Value : 0.9053         
             Prevalence : 0.4900         
         Detection Rate : 0.4450         
   Detection Prevalence : 0.5250         
      Balanced Accuracy : 0.8757         
                                         
       'Positive' Class : 0              
                                         
