Time difference of 35.70264 mins
[1] "==============="
Model Averaged Neural Network 

800 samples
 40 predictor
  2 classes: '0', '1' 

No pre-processing
Resampling: Cross-Validated (10 fold, repeated 2 times) 

Summary of sample sizes: 720, 720, 721, 720, 720, 720, ... 

Resampling results across tuning parameters:

  size  decay     Accuracy  Kappa  Accuracy SD  Kappa SD
  21    0.100000  0.848     0.696  0.0287       0.0574  
  23    0.000000  0.803     0.606  0.0368       0.0737  
  23    0.000100  0.805     0.610  0.0390       0.0783  
  23    0.000200  0.814     0.629  0.0353       0.0709  
  23    0.000398  0.811     0.621  0.0399       0.0799  
  23    0.000794  0.819     0.637  0.0341       0.0684  
  23    0.001585  0.818     0.635  0.0400       0.0804  
  23    0.003162  0.832     0.664  0.0334       0.0669  
  23    0.006310  0.828     0.655  0.0423       0.0847  
  23    0.012589  0.831     0.662  0.0362       0.0726  
  23    0.025119  0.843     0.686  0.0372       0.0747  
  23    0.050119  0.844     0.689  0.0350       0.0700  
  23    0.100000  0.843     0.686  0.0396       0.0792  

Tuning parameter 'bag' was held constant at a value of FALSE
Kappa was used to select the optimal model using  the largest value.
The final values used for the model were size = 21, decay = 0.1 and bag = FALSE. 
[1] "==============="
Confusion Matrix and Statistics

          Reference
Prediction  0  1
         0 89 12
         1  9 90
                                         
               Accuracy : 0.895          
                 95% CI : (0.844, 0.9338)
    No Information Rate : 0.51           
    P-Value [Acc > NIR] : <2e-16         
                                         
                  Kappa : 0.79           
 Mcnemar's Test P-Value : 0.6625         
                                         
            Sensitivity : 0.9082         
            Specificity : 0.8824         
         Pos Pred Value : 0.8812         
         Neg Pred Value : 0.9091         
             Prevalence : 0.4900         
         Detection Rate : 0.4450         
   Detection Prevalence : 0.5050         
      Balanced Accuracy : 0.8953         
                                         
       'Positive' Class : 0              
                                         
