Time difference of 12.5413 secs
[1] "==============="
Cost-Sensitive CART 

800 samples
 40 predictor
  2 classes: '0', '1' 

No pre-processing
Resampling: Cross-Validated (10 fold, repeated 2 times) 

Summary of sample sizes: 720, 720, 720, 720, 719, 721, ... 

Resampling results across tuning parameters:

  Cost  cp       Accuracy  Kappa  Accuracy SD  Kappa SD
  10    0.05102  0.624     0.257  0.0399       0.0791  
  11    0.00510  0.729     0.462  0.0271       0.0530  
  11    0.00893  0.723     0.451  0.0285       0.0557  
  11    0.01020  0.718     0.441  0.0317       0.0619  
  11    0.01276  0.711     0.426  0.0294       0.0574  
  11    0.01786  0.716     0.436  0.0336       0.0661  
  11    0.02168  0.709     0.424  0.0315       0.0621  
  11    0.02296  0.706     0.418  0.0321       0.0632  
  11    0.03316  0.682     0.371  0.0435       0.0841  
  11    0.03571  0.671     0.349  0.0457       0.0884  
  11    0.04082  0.649     0.307  0.0415       0.0802  
  11    0.05102  0.616     0.243  0.0435       0.0859  
  12    0.00510  0.727     0.458  0.0241       0.0470  
  12    0.00893  0.724     0.452  0.0263       0.0511  
  12    0.01020  0.721     0.447  0.0283       0.0549  
  12    0.01276  0.714     0.434  0.0272       0.0530  
  12    0.01786  0.720     0.445  0.0278       0.0548  
  12    0.02168  0.712     0.429  0.0281       0.0556  
  12    0.02296  0.709     0.424  0.0275       0.0545  
  12    0.03316  0.686     0.380  0.0367       0.0713  
  12    0.03571  0.682     0.371  0.0391       0.0766  
  12    0.04082  0.641     0.292  0.0427       0.0832  
  12    0.05102  0.614     0.240  0.0396       0.0785  

Kappa was used to select the optimal model using  the largest value.
The final values used for the model were cp = 0.005102041 and Cost = 1. 
[1] "==============="
Confusion Matrix and Statistics

          Reference
Prediction  0  1
         0 84 29
         1 14 73
                                          
               Accuracy : 0.785           
                 95% CI : (0.7215, 0.8398)
    No Information Rate : 0.51            
    P-Value [Acc > NIR] : 9.039e-16       
                                          
                  Kappa : 0.5711          
 Mcnemar's Test P-Value : 0.03276         
                                          
            Sensitivity : 0.8571          
            Specificity : 0.7157          
         Pos Pred Value : 0.7434          
         Neg Pred Value : 0.8391          
             Prevalence : 0.4900          
         Detection Rate : 0.4200          
   Detection Prevalence : 0.5650          
      Balanced Accuracy : 0.7864          
                                          
       'Positive' Class : 0               
                                          
